序号,章节,章节代码,源行号,说话人代码,说话人,类型,英文原文,中文译文
32,第一幕·场景1,a1s1,38,a,Amicus,台词,"""Get closer.""",“靠近点儿。”
33,第一幕·场景1,a1s1,39,,,旁白,...,......
34,第一幕·场景1,a1s1,40,a,Amicus,台词,"""It's a human?""",“它是人类？”
35,第一幕·场景1,a1s1,41,com,Computer,台词,"""Collecting data...he appears to be a young male human.""",“正在收集数据...他是一个年轻的雄性人类。”
36,第一幕·场景1,a1s1,42,,,旁白,...,......
37,第一幕·场景1,a1s1,43,a,Amicus,台词,"""Initiate landing sequence.""",“启动着陆程序。”
38,第一幕·场景1,a1s1,44,com,Computer,台词,"""Have you located the directive?""",“你是在下达指令吗？”
39,第一幕·场景1,a1s1,45,a,Amicus,台词,"""Yes.""",“是的。”
40,第一幕·场景1,a1s1,46,com,Computer,台词,"""Warning that full Nexus analysis is incomple—""",“警告，对Nexus的分析尚未完成-”
41,第一幕·场景1,a1s1,47,a,Amicus,台词,"""Now, please. We cannot waste time outside of the Stretch Drive.""",“马上，我们不能在Stretch航行以外的地方浪费时间。”
42,第一幕·场景1,a1s1,48,,,旁白,...,......
43,第一幕·场景1,a1s1,49,com,Computer,台词,"""Initiating landing sequence.""",“正在启动着陆程序。”
44,第一幕·场景1,a1s1,55,,,旁白,It's hard to believe that I'm actually here.,真不敢相信，我确实站在这片土地上。
45,第一幕·场景1,a1s1,56,,,旁白,"After years of fantasizing about it, I'm in Rome...",梦想了这么多年，我终于来到了罗马...
46,第一幕·场景1,a1s1,57,,,旁白,I've been bouncing around with my friends like an idiot all day.,我像个傻瓜一样和朋友们鬼混了一天了。
47,第一幕·场景1,a1s1,58,,,旁白,"Yeah, I look like a total tourist, but this is what I've been saving up for for the past two years..",是啊，我看起来像一个旅行者。但其实过去两年间我一直在存钱...
48,第一幕·场景1,a1s1,59,,,旁白,A whole semester in Rome with the study abroad program.,足够在罗马留一整个学期的钱。
49,第一幕·场景1,a1s1,60,,,旁白,All the conversations I've had with my parents about what a waste of money it would be evaporates from my brain as I take in the view.,所有那些和父母讨论过的，浪费钱之类的话题，在我目睹了当地的景色后立刻从我脑中蒸发掉了。
50,第一幕·场景1,a1s1,61,,,旁白,"We only have a few hours, so we move from the Forum to Palatine Hill, then finally to a nearby disco where I get just a little drunk.",剩余的几个小时里，我们去了帕拉蒂尼山，最后进了附近一家迪斯科舞厅，在那里我有点喝高了。
51,第一幕·场景1,a1s1,62,,,旁白,"Before I know it, it's two in the morning and somehow my friends and I are able to stumble to a taxi that takes us back to our apartments.",不知不觉，已经是凌晨两点了。我和朋友们踉踉跄跄地上了一辆出租车，司机把我们载回了公寓。
52,第一幕·场景1,a1s1,64,,,旁白,"I walk unsteadily through the darkness, glad that I have the place to myself for now.",我在黑暗中跌跌撞撞地走着，为现在有了属于自己的地方而高兴。
53,第一幕·场景1,a1s1,65,,,旁白,Apparently my group was the first to arrive and my assigned flatmates won't be here for a few days at least.,据我所知，我们组是第一个到的，还有我的室友们至少几天内都不会来这里。
54,第一幕·场景1,a1s1,66,,,旁白,I open the door to my room and move my hand along the wall.,我打开房间的门，用手在墙壁上摸索着。
55,第一幕·场景1,a1s1,69,,,旁白,"I stumble in then sit on my bed, bouncing happily for a moment.",我摇摇晃晃地走了进去，坐在床上，兴奋地在上面弹了几下。
56,第一幕·场景1,a1s1,70,,,旁白,"I think about going out onto the balcony, but I've been walking all day and it feels too nice to be sitting down.",我很想到阳台外面去，不过我已经走了一整天了，实在是不舍得站起来。
57,第一幕·场景1,a1s1,71,,,旁白,Plus it might not be a great idea considering the state I'm in right now.,另外，考虑到我现在的状况，这也许不是个好主意。
58,第一幕·场景1,a1s1,72,,,旁白,"Still, just knowing the magic of the city is just outside my window is going to make it hard to sleep.",并且，见识了这个城市的魅力就离我一窗之隔，会令我更加难以入睡的。
59,第一幕·场景1,a1s1,73,,,旁白,I sigh happily and look around my little room.,我一边高兴地喘着气，一边环视着我的小房间。
60,第一幕·场景1,a1s1,74,,,旁白,Actually I'm told that it's kinda big by this city's standards.,其实，有人跟我说过，以这个城市的标准来说它已经挺大的了。
61,第一幕·场景1,a1s1,75,,,旁白,It's still a little bare since I just moved in today.,因为我今天才搬进来的缘故，房间里空荡荡的。
62,第一幕·场景1,a1s1,76,,,旁白,I'd basically just dropped my suitcases next to the door before running out again.,我先前把手提箱丢在门边，然后立马就出去了。
63,第一幕·场景1,a1s1,77,,,旁白,"I glance at them, but decide I'm way too tired right now to unpack even if my pajamas are in there.",我朝那里瞄了一眼：不过我太累了，实在是懒得去翻睡衣在不在里面。
64,第一幕·场景1,a1s1,78,,,旁白,It's fine if I'm just laying on top of the covers.,躺在被子上就挺好的。
65,第一幕·场景1,a1s1,79,,,旁白,I'll get to it tomorrow.,明天再找吧。
66,第一幕·场景1,a1s1,80,,,旁白,"In the meantime I just lay back, smiling in the afterglow of today's excitement.",我沉浸在今天的回忆中，微笑着躺了下来。
67,第一幕·场景1,a1s1,81,,,旁白,And tomorrow I'll get to see even more!,明天还有更加精彩的！
68,第一幕·场景1,a1s1,82,,,旁白,"Damn it, I need to calm down.",该死，我得冷静下来。
69,第一幕·场景1,a1s1,83,,,旁白,No way am I gonna have the energy I'll need tomorrow if I'm up all night.,如果我彻夜不眠，明天哪还有精力挥霍。
70,第一幕·场景1,a1s1,84,,,旁白,I've got the whole semester and on top of that school doesn't actually start for another two weeks!,我还有一整个学期的时间呢，而且实际上还有两周才开学！
71,第一幕·场景1,a1s1,85,,,旁白,There's plenty of time.,时间很充裕。
72,第一幕·场景1,a1s1,86,,,旁白,Just relax for now and enjoy it.,先放松下来，好好享受吧。
73,第一幕·场景1,a1s1,87,,,旁白,"With that thought in my head, I start to drift off...",一边这样想着，我逐渐睡了过去...
74,第一幕·场景1,a1s1,90,,,旁白,Something moves...,有什么东西在动...
75,第一幕·场景1,a1s1,91,,,旁白,"I lay there in the dark, wondering if I'd dreamed it.",我躺在黑暗中，不知那是否是我的梦。
76,第一幕·场景1,a1s1,92,,,旁白,"I had been dreaming, even though I can't remember exactly what it was about.",我一直在做梦，尽管我记不清细节了。
77,第一幕·场景1,a1s1,93,,,旁白,"Something about a portal, maybe?",关于一个门户的，大概？
78,第一幕·场景1,a1s1,94,,,旁白,"I listen for a while, but there's no other sound...just the occasional soft {i}whoosh{/i} of a car passing by outside my balcony.",我听了一会儿，除了偶尔从阳台外开过的汽车发出的{i}嗖嗖{/i}声外，没有其他动静。
79,第一幕·场景1,a1s1,95,,,旁白,I shift around a little; the suffocating humidity is making the sheets stick to my skin and I wonder if maybe there's a fan in the closet.,我略微转了个身，床单因为令人窒息的潮湿空气粘着我的皮肤，不知道壁橱里有没有风扇。
80,第一幕·场景1,a1s1,96,,,旁白,"I finally sit up in bed, realizing that there's no way I'm going to fall back to sleep like this.",终于，我坐了起来。这种状态下我是睡不着了。
81,第一幕·场景1,a1s1,97,,,旁白,"I could at least try sliding open the balcony door, though I'm not sure that will do me any good.",至少我可以打开阳台门试试，虽然不确定有没有用。
82,第一幕·场景1,a1s1,98,,,旁白,"Worth a try, I guess.",我想值得一试。
83,第一幕·场景1,a1s1,99,,,旁白,"I groggily slide out of bed and try to slide the glass door open, but it doesn't budge.",我摇摇晃晃地从床上溜下来，尝试把玻璃门拉开，不过它纹丝不动。
84,第一幕·场景1,a1s1,100,,,旁白,I struggle for a few more seconds before sighing and moving toward the door to find the light switch.,我死磕了几秒钟，最终还是叹了口气，向门口的开关走去。
85,第一幕·场景1,a1s1,101,,,旁白,"My feet slide along the semi-cool wooden floor, which feels great, while my hands stretch out in front of me, searching for the wall.",脚在凉飕飕的木地板上滑动的感觉还不错，我朝前方伸手，寻找着墙壁。
86,第一幕·场景1,a1s1,102,,,旁白,"Right then I remember that I was woken up by noises, and I imagine some intruder standing there in the dark, waiting for me to bump into him.",就在此刻，我被一个声音惊醒了。我想象着有一个入侵者正在黑暗中蠢蠢欲动，等着我自投罗网。
87,第一幕·场景1,a1s1,103,,,旁白,"Feeling the hairs stand up on the back of my neck, I quicken my pace and find the wall, fumbling around until—",感觉脖子后面的寒毛全都竖了起来。我加快步伐，终于摸到了墙壁，在上面摸索着，然后-
88,第一幕·场景1,a1s1,106,,,旁白,"I quickly glance around the room, relieved that it's empty.",我飞快地环视了一遍整个房间，空空如也。我的心放了下来。
89,第一幕·场景1,a1s1,107,,,旁白,My parents had warned me about the crime rate here.,父母警告过我这里的犯罪率。
90,第一幕·场景1,a1s1,108,,,旁白,"While the city is technically safe in terms of murder, robberies and muggings are apparently pretty common.",理论上讲这座城市在谋杀罪方面还是安全的，但是盗窃和抢劫还是相当普遍。
91,第一幕·场景1,a1s1,109,,,旁白,"I had shrugged it off at the time, but now that I'm alone—.",当时我对此不屑一顾，不过现在独自一人的情况下-
92,第一幕·场景1,a1s1,110,,,旁白,"I make my way to the balcony, looking for the lock before finally seeing that there's a latch near the top of the door.",我走到阳台前，寻找着门锁。终于在门顶附近发现了一个门闩。
93,第一幕·场景1,a1s1,111,,,旁白,I unhook it and slowly slide the door open.,我打开锁，慢慢将门拉开。
94,第一幕·场景1,a1s1,112,,,旁白,I'm disappointed to find that the air wafting from outside is almost as stuffy as the air inside.,窗外飘来的空气和房间里的一样闷热，这使我很失望。
95,第一幕·场景1,a1s1,113,,,旁白,"Still, I take the moment to stare out at the lights of the city for a while.",不过，我趁机眺望着城市里的灯光。
96,第一幕·场景1,a1s1,114,,,旁白,"Even though I'm more interested in the ruins, the city itself is undeniably beautiful.",尽管我对遗迹更感兴趣，但不可否认的是这座城市也有其独特的美。
97,第一幕·场景1,a1s1,115,,,旁白,Nothing like my hometown.,一点也不像我的家乡。
98,第一幕·场景1,a1s1,116,,,旁白,"That's when I notice that there's a strange smell in the air, like burning rubber.",与此同时，我留意到空气中有一股奇怪的味道，闻起来像是燃烧的橡胶。
99,第一幕·场景1,a1s1,117,,,旁白,"I stick my head out a bit further, looking around for the source, but I see nothing.",我把头探了出去，四处张望着寻找气味源头，不过什么也没看到。
100,第一幕·场景1,a1s1,118,,,旁白,Maybe that's normal here?,也许这味道在这里很寻常？
101,第一幕·场景1,a1s1,119,,,旁白,I look back at the clock on the wall.,我回头看了看墙上的表。
102,第一幕·场景1,a1s1,120,,,旁白,4 A.M.,凌晨四点。
103,第一幕·场景1,a1s1,121,,,旁白,"I sigh and shuffle back to the bed, only realizing that I've left the light on once I've already fallen back-first onto the covers.",我叹了口气，拖着脚步回到床上。当我躺倒在被子上时，才意识到灯还没关。
104,第一幕·场景1,a1s1,122,,,旁白,"I sigh and will myself to get up, but the tiredness has returned and the heavy humidity is almost like a warm blanket pressing down on me.",我又叹了口气，想要爬起来。但是疲劳感席卷了全身，潮湿的空气如同一张温暖的毯子压在我的身上。
105,第一幕·场景1,a1s1,123,,,旁白,I close my eyes...,我闭上双眼...
106,第一幕·场景1,a1s1,124,,,旁白,"I'll get up and turn it off in a second, just need to rest my eyes for a bit.",马上就去关掉，我只是想先让眼睛休息一小会儿。
107,第一幕·场景1,a1s1,125,,,旁白,Just for a bit...,就一小会儿...
108,第一幕·场景1,a1s1,127,,,旁白,Something moves again.,又有什么东西在动了。
109,第一幕·场景1,a1s1,128,,,旁白,And there's another smell in the air.,空气中还有另一股味道。
110,第一幕·场景1,a1s1,129,,,旁白,A good smell this time.,这次的闻起来还不错。
111,第一幕·场景1,a1s1,130,,,旁白,Something floral.,像是花香。
112,第一幕·场景1,a1s1,131,,,旁白,It reminds me of lavender.,让我想到了薰衣草。
113,第一幕·场景1,a1s1,132,,,旁白,"And that's when something hard and sharp presses into my left eye socket, just above the eye.",就在此时，一个又尖又硬的东西刺进了我的左眼窝，就在眼睛上面一点的位置。
114,第一幕·场景1,a1s1,133,,,旁白,"It doesn't really hurt, but it shocks me awake.",不怎么疼，但足够惊醒我了。
115,第一幕·场景1,a1s1,138,,,旁白,...,......
116,第一幕·场景1,a1s1,139,,,旁白,"It leans over me, something shiny in its grip which it's pulling back from my head.",它俯在我的身上，从我的头上拽回来一个发着光的东西。
117,第一幕·场景1,a1s1,143,unk,?????,台词,"""Av—""",“Av-”
118,第一幕·场景1,a1s1,144,m,主角(MC),台词,"""AH!""",“啊！”
119,第一幕·场景1,a1s1,149,,,旁白,"I kick out with both feet, hitting the thing leaning over me in its body.",我两只脚都踹了过去，踹在那东西的身上。
120,第一幕·场景1,a1s1,150,unk,?????,台词,"""{i}Edapol{/i}!""",“{i}Edapol{/i}！”
121,第一幕·场景1,a1s1,151,,,旁白,"It lets out a surprised grunt, stumbling back and falling on its rear while I scramble back on my bed, pressing myself against the wall.",它发出了诧异的哼声，跌跌撞撞地向后倒去，一屁股坐了下来。同时，我七手八脚地从床上下来，身体紧贴在墙壁上。
122,第一幕·场景1,a1s1,153,,,旁白,"Almost immediately it scrambles back up, revealing its massive build and its masculine shape.",它几乎立刻就爬了起来，彰显出了巨大的身躯和阳刚的外形。
123,第一幕·场景1,a1s1,154,,,旁白,"It...he adjusts his cape and smooths down his fur before rubbing at his chest, giving me an odd look.",它...他整理了一下披风，还有顺了顺毛。他用爪子揉着胸口，用奇怪的眼神看着我。
124,第一幕·场景1,a1s1,156,,,旁白,Then he fixes a smile back on his face.,然后他的脸上又恢复了笑容。
125,第一幕·场景1,a1s1,158,unk,?????,台词,"""{i}Ave{/i}!""",“{i}Ave{/i}！”
126,第一幕·场景1,a1s1,159,,,旁白,...,......
127,第一幕·场景1,a1s1,160,,,旁白,I stare.,我注视着他。
128,第一幕·场景1,a1s1,161,,,旁白,That's all I can do is stare.,除此以外我什么也做不了。
129,第一幕·场景1,a1s1,163,,,旁白,"He stares back at me for a moment, then clears his throat.",他也同样注视着我，过了一会儿，他清了清嗓子。
130,第一幕·场景1,a1s1,165,unk,?????,台词,"""{i}Ave/{/i}Hello!""",“{i}Ave/{/i}你好！”
131,第一幕·场景1,a1s1,166,,,旁白,The space above my left eye throbs and it sounds like I'm hearing two things at once from the same voice.,我左眼上边的地方在跳动，听起来像是一个声音里同时传出了两种意思。
132,第一幕·场景1,a1s1,168,unk,?????,台词,"""Erm...{i}Potes intellegere{/i}?/Do you understand?""",“呃...{i}Potes intellegere{/i}？/你听得懂吗？”
133,第一幕·场景1,a1s1,169,,,旁白,"Again the bizarre twitching in my eye, in my brain, and hearing two things at once.",我同时听到了两种意思，我的眼睛、大脑又异常地抽搐了起来。
134,第一幕·场景1,a1s1,170,,,旁白,I feel like I'm going to be sick.,我感觉要吐了。
135,第一幕·场景1,a1s1,171,,,旁白,"The room shifts and swirls a bit, then slowly starts to settle again.",整个房间都在移动着，旋转着，然后又慢慢平稳了下来。
136,第一幕·场景1,a1s1,172,,,旁白,The twitching in my head turns into a dull throb.,我脑袋里的抽搐变成了隐隐的悸动。
137,第一幕·场景1,a1s1,173,,,旁白,I'm having a nightmare.,我在做噩梦。
138,第一幕·场景1,a1s1,174,unk,?????,台词,"""Do you understand me?""",“你听得懂我说的话吗？”
139,第一幕·场景1,a1s1,175,,,旁白,I stare at him and he stares back.,我盯着他，他也盯着我。
140,第一幕·场景1,a1s1,176,unk,?????,台词,"""Com, I don't know if the chip is working...""",“Com，我不知道芯片生效没有...”
141,第一幕·场景1,a1s1,177,m,主角(MC),台词,"""Wh—what?""",“什-什么？”
142,第一幕·场景1,a1s1,178,,,旁白,"The creature raises its hand to its head, rubbing at it.",那只生物把手举到头了上，搓了搓。
143,第一幕·场景1,a1s1,179,unk,?????,台词,"""Well, he can speak, and it's translating. Can you understand me?""",“嗯，他会说话，也翻译过来了。你听得懂我的话吗？”
144,第一幕·场景1,a1s1,180,,,旁白,When am I going to wake up?,我什么时候才能醒过来？
145,第一幕·场景1,a1s1,181,,,旁白,He keeps staring at me and automatically I respond to him.,他一直盯着我不放，我下意识地回答了他。
146,第一幕·场景1,a1s1,182,m,主角(MC),台词,"""Y—yes?""",“可-可以？”
147,第一幕·场景1,a1s1,184,unk,?????,台词,"""Ah! Good, seems it's finally working now. They take a moment to adjust to the host brain.""",“啊！太好了，看来终于生效了。它们需要一点时间来适应宿主的大脑。”
148,第一幕·场景1,a1s1,185,,,旁白,I struggle to keep up with his words.,我艰难地理解着他的意思。
149,第一幕·场景1,a1s1,186,,,旁白,I'm still hearing what he's saying.,我还在听他在说什么。
150,第一幕·场景1,a1s1,187,,,旁白,"It's almost Italian with the inflections and the rolling R's, but at the same time it's definitely not Italian...",他说话的语调和转折很像意大利语，但又肯定不是意大利语...
151,第一幕·场景1,a1s1,188,,,旁白,"Still, I can understand what he's saying, like he's speaking my own language at the same time.",不过，我能听懂他的话，就像是他同时在说我的语言一样。
152,第一幕·场景1,a1s1,189,,,旁白,It makes it hard to concentrate.,这使我很难集中注意力。
153,第一幕·场景1,a1s1,191,unk,?????,台词,"""What is your name?""",“你叫什么名字？”
154,第一幕·场景1,a1s1,196,,,旁白,His expectant look almost forces the answer out of my mouth.,他的眼神充满了期待，我不禁回答了他。
155,第一幕·场景1,a1s1,197,m,主角(MC),台词,"""[mc]...""",“[mc]...”
156,第一幕·场景1,a1s1,198,unk,?????,台词,"""[mc]? Beautiful! I am Amicus.""",“[mc]？真好听的名字！我叫Amicus。”
157,第一幕·场景1,a1s1,199,,,旁白,"The confusing double language I was hearing is starting to fade, and now only my own language comes from his mouth.",我脑中令人困惑的双重语言现象逐渐消退，现在他说出来的话只有我的语言了。
158,第一幕·场景1,a1s1,200,,,旁白,"It's odd, the words not quite matching up with his lips.",奇怪，这些词和他的嘴唇不吻合。
159,第一幕·场景1,a1s1,201,,,旁白,What's even more distracting are the massive canines that continue to flash behind those lips.,他巨大的犬齿在嘴唇后面闪烁着，更让人分心了。
160,第一幕·场景1,a1s1,202,,,旁白,I need to get the hell out of here.,我必须离开这个鬼地方。
161,第一幕·场景1,a1s1,203,,,旁白,"Dream or not, I don't like the look of the teeth and claws on this thing.",不管是不是梦，我都不喜欢这个尖牙利爪的东西。
162,第一幕·场景1,a1s1,205,a,Amicus,台词,"""Ah, is the Lingua having troubles again?""",“啊，Lingua又出问题了吗？”
163,第一幕·场景1,a1s1,206,,,旁白,"I don't respond, instead glancing at the door just to the right and behind this...Amicus.",我没有回答，而是瞥了一眼这个...Amicus右后方的门。
164,第一幕·场景1,a1s1,207,,,旁白,He frowns.,他皱着眉头。
165,第一幕·场景1,a1s1,209,a,Amicus,台词,"""Com, you told me they're level 5. I can't even speak with it!""",“Com，你跟我说他们有等级五，但是我甚至都不能和他对话！”
166,第一幕·场景1,a1s1,210,,,旁白,It takes me a moment to realize he's not talking to me.,我花了些时间才意识到他不是在和我说话。
167,第一幕·场景1,a1s1,211,,,旁白,"I hear a soft chatter coming from the wolf, like someone's talking to him from a phone, but I can't see anything.",我听到狼那里传来了低沉的说话声，像是有人通过手机在和他讲话，但我并没有看到类似的东西。
168,第一幕·场景1,a1s1,212,a,Amicus,台词,"""Yeah? Well he kicked me in the chest!""",“是啊？他踢了我的胸口！”
169,第一幕·场景1,a1s1,213,,,旁白,Amicus rubs at his chest with a frown.,Amicus一边皱着眉，一边揉着胸。
170,第一幕·场景1,a1s1,214,,,旁白,More muffled speaking.,更多低沉的声音传来。
171,第一幕·场景1,a1s1,216,a,Amicus,台词,"""Of course I didn't! He just kicked me! He's looking at me like he has no idea—""",“当然没有！他突然就踢了我！他看我的样子就像他不知道-”
172,第一幕·场景1,a1s1,217,,,旁白,More muffled speaking interrupts him.,低沉的声音打断了他。
173,第一幕·场景1,a1s1,219,a,Amicus,台词,"""Oh...Wait, what!?""",“...等等，什么！？”
174,第一幕·场景1,a1s1,221,a,Amicus,台词,"""Are you serious?""",“你说的是真的？”
175,第一幕·场景1,a1s1,222,,,旁白,"Now he looks pissed and I press myself harder against the wall, trying to work up the courage to make a break for the door.",他现在看起来很恼火。我把背往墙上靠得更紧了，同时想鼓起勇气去开门。
176,第一幕·场景1,a1s1,223,a,Amicus,台词,"""How—Wait, so you're always offering me opinions on my mood, but you couldn't offer THAT!?""",“怎么-等一下，你总是对我的情绪发表意见，现在却说你{b}做不到{/b}？”
177,第一幕·场景1,a1s1,224,,,旁白,"More muffled babbling, but the wolf thing interrupts it with a snarl.",低沉的声音含糊不清地说着什么，但这只狼一样的东西用咆哮打断了它。
178,第一幕·场景1,a1s1,225,a,Amicus,台词,"""Well what the hell do I do now!?""",“那我现在到底该怎么办！？”
179,第一幕·场景1,a1s1,226,,,旁白,His lips are drawn back and now I get to have a real good view of those canines.,他咧着嘴唇，我因此能更清楚地观察到那些牙齿。
180,第一幕·场景1,a1s1,227,,,旁白,"I stare wide-eyed at them, and that's when he seems to notice me again.",我瞪大了眼睛盯着它们，他似乎把注意力放回到了我身上。
181,第一幕·场景1,a1s1,229,,,旁白,"He readjusts his expression into a smile, but I can still see a fang poking out.",他重新调整了一下表情，露出一个微笑，但我仍然能看到一枚尖牙探了出来。
182,第一幕·场景1,a1s1,230,a,Amicus,台词,"""Heeey, listen...""",“嘿-，听我说...”
183,第一幕·场景1,a1s1,231,,,旁白,"Something about the way he acts; his expressions, demeanor...",他的举止、他的表情、他的行为...
184,第一幕·场景1,a1s1,232,,,旁白,He's so...human.,他很像...人类。
185,第一幕·场景1,a1s1,233,a,Amicus,台词,"""Could you...could you come with me outside for a quick moment?""",“你可不可以...可不可以和我外出一小会儿呢？”
186,第一幕·场景1,a1s1,234,,,旁白,For some reason the realization of his human-ness makes me absolutely positive that this is a dream.,出于某种原因，意识到了他人性的一面的我更加确信这是一场梦了。
187,第一幕·场景1,a1s1,235,,,旁白,"This must be a character from a game, or movie that I'd seen.",他一定是某个我接触过的电影或游戏里面的角色。
188,第一幕·场景1,a1s1,236,,,旁白,I shake my head slowly at him.,我慢慢摇了摇头。
189,第一幕·场景1,a1s1,237,a,Amicus,台词,"""Ah..um, please?""",“啊...呃，拜托了？”
190,第一幕·场景1,a1s1,238,,,旁白,"I just stare, still waiting to wake up.",我就这样盯着他，等待着梦醒。
191,第一幕·场景1,a1s1,239,,,旁白,I've had dreams where I couldn't wake up before. This is just one of those.,我以前也做过醒不过来的梦，这也是其中之一吧。
192,第一幕·场景1,a1s1,240,,,旁白,I remember reading somewhere that if you aren't sure you're dreaming you can plug your nose.,记得在哪里看到过，如果你不确定是否在做梦，可以堵住自己的鼻子。
193,第一幕·场景1,a1s1,241,,,旁白,"If you can still breathe, then it's definitely a dream.",如果你还能呼吸，那就绝对是梦。
194,第一幕·场景1,a1s1,242,,,旁白,But I remain frozen against the wall.,但我仍然僵在那里。
195,第一幕·场景1,a1s1,244,,,旁白,The massive wolf sighs.,这只大狼叹了口气。
196,第一幕·场景1,a1s1,245,,,旁白,Then his paw suddenly moves to his waist.,然后他突然把爪子移到了腰间。
197,第一幕·场景1,a1s1,246,,,旁白,I only have a moment to see some sort of device with multi-colored lights before he moves and my entire body seizes up and things go black...,只有一瞬，我看到了一个发着五颜六色光芒的装置。随后，伴随着他的动作，我整个身体失去了使唤，一切都陷入了黑暗中。
198,第一幕·场景1,a1s1,250,,,旁白,My body feels strangely numb.,我的身体感到异常的麻木。
199,第一幕·场景1,a1s1,251,,,旁白,"It's like when I wake up with a dead leg or arm, except right now it's my entire body.",就像刚睡醒时的胳膊和腿一样，只不过现在我全身都是如此。
200,第一幕·场景1,a1s1,252,,,旁白,"The only thing I can really feel is a sharp, cold pain behind and above my left eye.",我唯一能真正感觉到的是左眼上方的刺痛。
201,第一幕·场景1,a1s1,253,,,旁白,"I try to wiggle my fingers and hands, wondering if I'm having some sort of sleep paralysis.",我试着活动自己的手掌和手指，想知道我是不是得了睡眠瘫痪症。
202,第一幕·场景1,a1s1,254,,,旁白,"They move, at least I think they do; everything's so dark.",它们动了，至少我认为它们动了：周围一片黑暗。
203,第一幕·场景1,a1s1,255,,,旁白,Am I still in the apartment?,我还在公寓里吗？
204,第一幕·场景1,a1s1,256,,,旁白,"Usually there's a little bit of light coming from the balcony because of the street lamps, but everything is pitch-black.",因为路灯的关系，阳台上通常会透进来一些光，但是这里漆黑一片。
205,第一幕·场景1,a1s1,257,,,旁白,"I start to feel a little panicky, both from the numb feeling and also the idea that I might have gone blind somehow.",我开始感到有些恐慌，既因为麻木感，还有我可能失明了的想法。
