序号,章节,章节代码,源行号,说话人代码,说话人,类型,英文原文,中文译文
43,第一幕·场景1,a1s1,59,,,旁白,"I like the position of it now, though.",不过，我还挺喜欢现在这个姿势的。
44,第一幕·场景1,a1s1,61,,,旁白,"It's like he can feel my eyes on him, though.",他似乎注意到了我的目光。
45,第一幕·场景1,a1s1,62,,,旁白,"He shifts, then yawns hugely.",他动了动，并打了个大大的哈欠。
46,第一幕·场景1,a1s1,63,,,旁白,"I stare into that gaping maw for a moment, for some reason tempted to poke my hand inside.",我盯着他那张大嘴，莫名想要用手去戳。
47,第一幕·场景1,a1s1,64,,,旁白,"It's something I would sometimes do when he was yawning particularly hard, something that was always sure to annoy him.",我偶尔会在他哈欠连天时这样做，而他必定会被惹恼。
48,第一幕·场景1,a1s1,65,,,旁白,It's probably less of a good idea to do it while he's still mostly asleep.,也许最好避开他还沉浸在梦里的时候。
49,第一幕·场景1,a1s1,66,,,旁白,There's enough power behind those jaws to easily sever any body part I have.,他的下颚蕴含着可以将我身体任何部位轻易撕碎的力量。
50,第一幕·场景1,a1s1,67,,,旁白,"He has to consciously restrain himself when handling me even casually, so better to leave the teasing for when he's fully conscious.",就算心不在焉，他在对待我时也会有意克制住自己，所以调戏什么的还是等他完全清醒再说吧。
51,第一幕·场景1,a1s1,68,,,旁白,"I smirk at the slight whine at the end of his yawn, kind of like I've heard dogs do back on Earth.",他打着尾音是呜呜声的哈欠，就好像地球上的狗狗一样，我不禁笑了起来。
52,第一幕·场景1,a1s1,70,,,旁白,"If he wasn't aware of me earlier, the soft exhale of air from my stifled laugh gives me away.",一定是憋笑时呼出的气流出卖了我，如果他之前没注意到的话。
53,第一幕·场景1,a1s1,71,,,旁白,"That piercing, blue eye is on me in an instant, and I'm a little startled by how quickly he honed in on me.",那双敏锐的蓝色眼睛瞬间盯了过来，速度之快甚至有点吓到我。
54,第一幕·场景1,a1s1,72,,,旁白,"Amicus isn't always in the best of moods when he wakes up, especially these days.",Amicus也不总是怀着高兴的心情醒来，尤其这几天更甚。
55,第一幕·场景1,a1s1,73,,,旁白,I clear my throat.,我清了清喉咙。
56,第一幕·场景1,a1s1,74,m,主角(MC),台词,"""Good morning, Amicus.""","""早上好，Amicus。"""
57,第一幕·场景1,a1s1,75,,,旁白,"He doesn't say anything, just eying me suspiciously.",他什么也没说，只是一脸狐疑地盯着我。
58,第一幕·场景1,a1s1,76,m,主角(MC),台词,"""What?""","""怎么了？"""
59,第一幕·场景1,a1s1,77,a,Amicus,台词,"""You find something amusing?""","""你觉得很有趣吗？"""
60,第一幕·场景1,a1s1,78,,,旁白,"Amicus is using his ""Emperor Voice"" on me, a serious tone that I reluctantly have to admit suits him well.",Amicus对我使用了他的‘皇帝口吻’，不得不承认，他的确很适合这种严肃的语气。
61,第一幕·场景1,a1s1,79,,,旁白,"But I know the playful, out-going man beneath that regal exterior, so it doesn't really work on me.",不过我知道这是玩笑，因为那副帝王外表下隐藏着一个顽皮、外向的灵魂。
62,第一幕·场景1,a1s1,80,m,主角(MC),台词,"""I don't think 'amusing' is the right word, my emperor.""","""我觉得不该用‘有趣’这个词来形容，陛下。"""
63,第一幕·场景1,a1s1,81,,,旁白,"I glide my hand over the fur on his chest, feeling the swell of muscle before dipping into the valley between his pecs.",我用手拂过他胸前的毛发，感受着肌肉的隆起，随后深入到两峰之间的沟壑中。
64,第一幕·场景1,a1s1,82,,,旁白,His little act falters.,他的姿态柔和了下来。
65,第一幕·场景1,a1s1,84,,,旁白,"Slowly, he lays back and I feel him relax even more than he already was.",他慢慢躺回了床上，我感觉他甚至比之前还要放松。
66,第一幕·场景1,a1s1,85,,,旁白,"I feel his abs lose all tension as I rub the hand through his belly fur, rubbing it in a circle and mussing it up a bit.",我一圈圈揉着他肚皮上的毛，渐渐地，他紧绷着的腹肌彻底绵软了下来。
67,第一幕·场景1,a1s1,86,,,旁白,To this day I find myself marveling over his body.,时至今日，我依然会惊叹于他的身体。
68,第一幕·场景1,a1s1,87,,,旁白,His massive size compared to my own is awe-inspiring enough.,和我相比，这幅庞大的身躯已经足够令人敬畏了。
69,第一幕·场景1,a1s1,88,,,旁白,"But also to feel how soft he can become, despite the latent power I know sits behind the relaxed, padded muscle.",还有他能变得如何柔软。尽管我知道那些松弛、厚实的肌肉之下潜藏着怎样的力量。
70,第一幕·场景1,a1s1,89,,,旁白,"It's something I got to feel regularly at night now, my hands clasping his sides while his chin is against the top of my head--",类似的想法经常会在夜里冒出来，就在我环抱着他，同时被他用下巴抵着头的时候-
71,第一幕·场景1,a1s1,90,,,旁白,"I work to control my thoughts, knowing that Amicus doesn't have time for distractions like that in the morning.",我努力收回自己的思绪，因为我知道，Amicus早上没有分心的余暇。
72,第一幕·场景1,a1s1,91,,,旁白,"Slowly, I pull my hand back slightly, sighing.",我轻轻地把手缩回来，叹了口气。
73,第一幕·场景1,a1s1,93,,,旁白,"Of course, he notices.",当然，他注意到了。
74,第一幕·场景1,a1s1,94,a,Amicus,台词,"""What's the matter?""","""怎么了？"""
75,第一幕·场景1,a1s1,95,m,主角(MC),台词,"""Nothing.""","""没什么。"""
76,第一幕·场景1,a1s1,96,,,旁白,Amicus rumbles deep in his chest the way the wolves somehow are able to do.,Amicus的胸膛开始像普通狼那样隆隆作响。
77,第一幕·场景1,a1s1,98,,,旁白,"Then he turns heavily onto his side, purposefully keeping his paws up so that he stays exposed, encouraging me to keep rubbing--",接着他重重翻了个身，还特意抬起爪子，把身体暴露在我面前，鼓励我继续抚摸-
78,第一幕·场景1,a1s1,99,,,旁白,--and also probably just enjoying showing off what he knows I really like.,-也可能单纯是在炫耀，毕竟他知道我有多喜欢。
79,第一幕·场景1,a1s1,100,a,Amicus,台词,"""You are the one that always brings up our {i}communication{/i}, as you put it.""","""总是你挑起的{b}话头{/b}，按你的说法。"""
80,第一幕·场景1,a1s1,101,,,旁白,"He breathes in deeply, his chest swelling out and his stomach sucking in a bit, showing off his figure.",他深吸一口气，挺起胸膛，同时肚子微微一缩，卖弄着他的身材。
81,第一幕·场景1,a1s1,102,a,Amicus,台词,"""So communicate with me, [mc].""","""那就开始吧，[mc]。"""
82,第一幕·场景1,a1s1,103,m,主角(MC),台词,"""I just... I know you need to go to work, but I like being with you here. That's all.""","""我只是...我知道你该去忙了，但我舍不得你离开。仅此而已。"""
83,第一幕·场景1,a1s1,104,,,旁白,"Still, my hand reaches out, smoothing over his side, down his ribcage before resting on his side, and I feel the skin and muscle beneath twitch slightly.",不过我还是侧躺过去，伸手抚摸起他的身体，感受着在皮毛下微微颤抖的皮肤与肌肉。
84,第一幕·场景1,a1s1,105,a,Amicus,台词,"""Mhm, that's almost convincing, but if you do not tell me the full truth, I will pin you and smother you while nibbling your ear until even Neferu hears you across the palace.""","""嗯呣，差点就被你说服了。要是不把真相一五一十地告诉我，我就把你压在身下，啃你的耳朵，直到皇宫另一头的Neferu都能听见。"""
85,第一幕·场景1,a1s1,106,m,主角(MC),台词,"""You'd like that to happen, wouldn't you?""","""这不就是你想要的吗？"""
86,第一幕·场景1,a1s1,107,,,旁白,I eye the giant paws that Amicus keeps relaxed near his head.,Amicus放松地枕着他的大爪子。
87,第一幕·场景1,a1s1,108,a,Amicus,台词,"""You would like it even more.""","""没有你‘想要’。"""
88,第一幕·场景1,a1s1,109,m,主角(MC),台词,"""Neferu might like it most. He's weird like tha--""","""可能都比不上Neferu，他就是这么怪-"""
89,第一幕·场景1,a1s1,110,,,旁白,"I open my mouth to keep up our banter, but that's when Amicus does roll over before coming to a stop with his body arched over mine.",我本想继续打趣，但这时Amicus突然滚了过来，呈弧形拱在我身上。
90,第一幕·场景1,a1s1,112,,,旁白,He keeps himself on his knees and elbows so as to keep his weight off of me.,他用膝盖和胳膊肘支撑着自己身体的重量，以免压住我。
91,第一幕·场景1,a1s1,113,,,旁白,"I cringe, preparing myself for the overwhelming way his flexible tongue is able to tickle my ear, but instead he presses his lips to mine.",我有些难为情地准备迎接他格外灵活的舌头对我耳朵的洗礼，但他只是把嘴唇贴了上来。
92,第一幕·场景1,a1s1,114,,,旁白,"I lay underneath him, forcing myself to relax.",我躺在他身下，强迫自己放松。
93,第一幕·场景1,a1s1,115,,,旁白,"Finally, he pulls back, narrowing his gaze down his muzzle, looking me in the eye.",终于，他抬起头，眯着眼睛与我对视。
94,第一幕·场景1,a1s1,116,a,Amicus,台词,"""I love you, but we will discuss this further when I return.""","""我爱你，不过还是等我回来后再讨论吧。"""
95,第一幕·场景1,a1s1,117,,,旁白,"His more serious demeanor is melting away as he becomes more awake, rolling away to stand up next to the bed.",他翻身下床，站在旁边，严肃的姿态逐渐消融。
96,第一幕·场景1,a1s1,119,,,旁白,"I sit there ruefully, keeping myself covered with the blanket so my erection isn't all that obvious.",我哀怨地坐在那里，用毯子盖住自己，以免下体显得过于明显。
97,第一幕·场景1,a1s1,120,m,主角(MC),台词,"""That was mean.""","""坏心眼。"""
98,第一幕·场景1,a1s1,121,,,旁白,"There's something just a little embarrassing about how I've known Amicus this long, yet he still has this kind of power over me.",与Amicus结识了这么久，他还是像这样掌握着主动权，我多少有些尴尬。
99,第一幕·场景1,a1s1,124,a,Amicus,台词,"""I was teasing... Partially. I {i}will{/i} want to know if something is really bothering you. Is it the moon tour? I thought you'd be excited.""","""我只是在逗你...也不全是。我{b}想{/b}知道你是否真的在困扰什么。是这趟旅行吗？我还以为你会非常兴奋的。"""
100,第一幕·场景1,a1s1,125,m,主角(MC),台词,"""I am! Seriously, I'm fine. I'm just glad we get to have these moments in the morning before you leave. And the week ahead, too.""","""兴奋啊！真的，很高兴在你忙之前我们还能像这样多呆一会儿。更别提后面的一周了。 """
101,第一幕·场景1,a1s1,127,a,Amicus,台词,"""Hm...""","""唔..."""
102,第一幕·场景1,a1s1,128,,,旁白,I eye his demeanor.,我观察着他的反应。
103,第一幕·场景1,a1s1,129,m,主角(MC),台词,"""Now it looks like something's bothering {i}you{/i}.""","""现在看来，是{b}你{/b}在困扰了。"""
104,第一幕·场景1,a1s1,131,a,Amicus,台词,"""It's strange with you. You tell me something, yet half the time it feels you are telling me the opposite. It's like...""","""你身上有种奇怪的感觉。我有一半时间觉得你在口是心非，就像..."""
105,第一幕·场景1,a1s1,132,,,旁白,He pauses.,他顿了一下。
106,第一幕·场景1,a1s1,133,,,旁白,"I narrow my eyes, knowing what's coming.",我眯起眼睛，知道他想说什么。
107,第一幕·场景1,a1s1,135,a,Amicus,台词,"""You're a bit of a female.""","""像雌性一样。"""
108,第一幕·场景1,a1s1,136,,,旁白,"I keep my expression stone cold, knowing that he's just trying to coax me into talking more.",我保持着岩石般冰冷的表情，因为我知道他只是想哄我多说几句。
109,第一幕·场景1,a1s1,137,,,旁白,"I also know if I act offended, that will just gives him the satisfaction of seeing me contradict myself when it comes to gender equality.",我还知道，要是表现出不爽，就只会满足他想看到我在两性问题上自相矛盾。
110,第一幕·场景1,a1s1,138,m,主角(MC),台词,"""You're late.""","""你已经迟到了。"""
111,第一幕·场景1,a1s1,140,a,Amicus,台词,"""Er, yes. Uh, was just joking. I just--""","""哦，对，呃，我只是开玩笑而已-"""
112,第一幕·场景1,a1s1,141,,,旁白,I get my own satisfaction in seeing Amicus flustered over his failed attempt at teasing.,看到Amicus为自己开失败了的玩笑而不知所措，我不禁有些得意。
113,第一幕·场景1,a1s1,142,,,旁白,"I roll my eyes, waving him off to show that it's alright.",我翻了个白眼，挥挥手示意他没什么。
114,第一幕·场景1,a1s1,144,a,Amicus,台词,"""We will talk later today for sure, before we leave.""","""今天晚些时候我们一定要继续谈谈，在我们动身之前。"""
115,第一幕·场景1,a1s1,145,m,主角(MC),台词,"""We'll have all week to talk. Better hurry before Virginia uses Com to call you.""","""我们还有整整一周时间可以谈，你最好在Virginia用Com催你之前快点儿。"""
116,第一幕·场景1,a1s1,147,a,Amicus,台词,"""Right.""","""好。"""
117,第一幕·场景1,a1s1,149,,,旁白,"Amicus hurries around the room, grabbing his cape and trousers before disappearing into the bathroom.",Amicus手忙脚乱地抓起他的斗篷和裤子，并消失在了洗手间中。
118,第一幕·场景1,a1s1,150,,,旁白,"He skips his usual shower, though he at least brushed his fur.",他跳过了平时的淋浴环节，不过至少有梳毛。
119,第一幕·场景1,a1s1,151,,,旁白,"He leans over, kissing me again quickly this time.",他俯下身，又快速亲了我一口。
120,第一幕·场景1,a1s1,153,a,Amicus,台词,"""My meetings should only go to the eleventh hour. See you then! You'd better be looking forward to our holidays!""","""会议第十一时应该就结束了，到时候见！你最好期待咱们的假期！"""
121,第一幕·场景1,a1s1,154,m,主角(MC),台词,"""I am. Later.""","""在期待啦。回头见。"""
122,第一幕·场景1,a1s1,155,,,旁白,"I smile back at him, which seems to satisfy the wolf before he disappears out the door, leaving me alone in the bedroom.",我也冲他笑了笑，这似乎令这只狼得到了满足。之后，他便消失在了门外，只留下我一个人在卧室里。
123,第一幕·场景1,a1s1,158,,,旁白,I listen to his heavy steps thunder down the hallway before sighing heavily again.,我聆听着走廊上沉重的脚步声，又重重叹了口气。
124,第一幕·场景1,a1s1,159,m,主角(MC),台词,"""What do you think, Com? Does the eleventh hour really mean the thirteenth, or the fourteenth?""","""你觉得呢，Com？第十一时本质上是第十三时，还是第十四时？"""
125,第一幕·场景1,a1s1,160,com,Computer,台词,"""The eleventh hour refers to the eleventh hour in the nineteen-hour Adastran day--""","""第十一时指的是阿达斯特拉日十九时中的第十一个小时-"""
126,第一幕·场景1,a1s1,161,m,主角(MC),台词,"""Thank you, Com. Please pick up where we left off yesterday, in {i}Adastra: A History{/i}.""","""谢了，Com。麻烦继续{b}阿达斯特拉：一段历史{/b}，从昨天结束的地方开始。"""
127,第一幕·场景1,a1s1,162,com,Computer,台词,"""Very well.""","""好的。"""
128,第一幕·场景1,a1s1,166,,,旁白,"I start to get ready myself, but at a much slower pace than Amicus.",我也开始了更衣，不过远没有Amicus那么急。
129,第一幕·场景1,a1s1,167,,,旁白,"Meanwhile, I listen to what is considered the quintessential record of wolves on the moon.",与此同时，我聆听着-在我看来是-这颗星球的典籍。
130,第一幕·场景1,a1s1,168,,,旁白,It's taken me several weeks to get through it.,为了通读，我已经花了好几周的时间。
131,第一幕·场景1,a1s1,169,,,旁白,"It began with Drusus 10,000 years ago, the moment he named the moon Adastra.",一切始于10000年前，Drusus为这颗星球命名为阿达斯特拉的那一刻。
132,第一幕·场景1,a1s1,170,,,旁白,"Pre-Adastra, or the Time of Matr, is something I probably won't be getting to any time soon.",前阿达斯特拉时代，或者说马特时代，则不是我短期内会接触的东西。
133,第一幕·场景1,a1s1,171,,,旁白,It's probably for the best considering how much more fractured and confusing the moon was in those days.,考虑到那时这颗星球有多么的混乱与分裂，也许还是不接触为好。
134,第一幕·场景1,a1s1,172,,,旁白,"Adastra's history is an easy-to-follow, single-line of emperorship, though it does start to blur together after 10,000 years.",阿达斯特拉史是一段简单明了的皇朝，尽管10000年后开始模糊了起来。
135,第一幕·场景1,a1s1,173,,,旁白,"I've started to perk up a bit more as it's neared the present day, especially with the mention of Amicus's father, though as I've gotten deeper into the history, I find myself wanting to pull back.",时间越来越接近现代，我也变得愈加兴奋，尤其是涉及到Amicus父亲的时候。尽管随着了解逐渐深入，我发觉自己想要止步于此了。
136,第一幕·场景1,a1s1,174,,,旁白,"While the wolven approach has always been brutal, it's becoming more difficult to listen to now that it's focused on the father of my lover.",沃尔文的处事方式一向残忍无情，而体现在我爱人的父亲身上则更加刺耳。
137,第一幕·场景1,a1s1,175,,,旁白,"Amicus seemed excited for me to learn that part of history, his own history really.",Amicus似乎在期待我读到-他自己的-那段历史。
138,第一幕·场景1,a1s1,176,,,旁白,"I haven't told him I've gotten to that point yet, though.",不过我还没告诉他，我已经看完那部分了。
139,第一幕·场景1,a1s1,177,,,旁白,"The ruthless power moves and executions, both of which have occurred countless times over the past several millennia, feel quite a bit more personal.",残酷的权力更迭与处决在过去数千年中上演过无数次，感觉更像是因为个人因素。
140,第一幕·场景1,a1s1,178,,,旁白,"Amicus looks up to his father quite a bit, but now that I'm learning more about him...",Amicus十分敬仰自己的父亲，而如今对他有了更多了解后...
141,第一幕·场景1,a1s1,180,com,Computer,台词,"""Emperor Potes saw to it that the Khemian's would receive the message loud and clear. So he sent his trusted friend, Cato, to the planet Quarto-2413b, on which Khemian geneticists were uplifting a primitive wolverine race.""","""为了将旨意精准无误地告知克米杨，皇帝Potes把备受自己信任的朋友Cato派往夸尔托-2413b，一颗克米杨遗传学家在上面培养原始种族狼獾的星球。"""
142,第一幕·场景1,a1s1,181,,,旁白,At this point I'm getting into the beginning of the Khemian War (the third one).,至此，（第三次）克米杨战争开始了。
143,第一幕·场景1,a1s1,182,,,旁白,Even the tone of the record seems to have become defensive.,典籍的腔调甚至都产生了戒备。
144,第一幕·场景1,a1s1,183,com,Computer,台词,"""Just fifty-seven light-years away from Adastra, this was an affront to wolven sovereignty. Cato thus cleansed the planet of the Khemian crime and returned peacefully to Adastra with no further bloodshed.""","""距阿达斯特拉仅有57光年，这是对沃尔文主权的侮辱。Cato因此净化了那颗星球上克米杨的罪行，并在没有进一步伤亡的情况下和平返回了阿达斯特拉。"""
145,第一幕·场景1,a1s1,184,com,Computer,台词,"""Upon Cato's return, Emperor Potes received him with much fanfa--""","""Cato归来后，皇帝Potes盛情接待了他-"""
146,第一幕·场景1,a1s1,185,m,主角(MC),台词,"""Hold on, Com.""","""暂停，Com。"""
147,第一幕·场景1,a1s1,186,,,旁白,"I'd just finished pulling on my robes, and now I sit on the edge of the bed, wondering if I really wanted to know...",此时我刚刚穿好长袍，坐在床边，不确定自己是否真想知道...
148,第一幕·场景1,a1s1,187,,,旁白,It's not like I can change history.,我无法改变历史。
149,第一幕·场景1,a1s1,188,,,旁白,"Is it worth knowing something that's already done, that might paint my view of Amicus's own father in such a bad light?",知道这些已经发生过的事，会让我对Amicus亲生父亲的印象变得更糟，这真的值得吗？
150,第一幕·场景1,a1s1,189,,,旁白,"Well, the answer is yes.",好吧，答案是值得。
151,第一幕·场景1,a1s1,190,,,旁白,Understanding the wolves is the point of why I'm doing this.,我的目的就是为了了解狼族。
152,第一幕·场景1,a1s1,192,m,主角(MC),台词,"""Com, read {i}A Khemian Counterpoint to Adastra: A History{/i}, chapter 12, section two.""","""Com，朗读{b}一个克米杨对阿达斯特拉：一段历史的看法{/b}，第12章，第2节。"""
153,第一幕·场景1,a1s1,193,,,旁白,There's a pause.,安静了一会。
154,第一幕·场景1,a1s1,194,,,旁白,It doesn't take a genius to know that what I'd just heard had been whitewashed to almost nonexistence.,任谁听都知道，刚才那段已经被粉饰得面目全非了。
155,第一幕·场景1,a1s1,195,,,旁白,"Luckily, the Khemian that wrote this ""correction"" to Adastran history organized the volume in a way that mirrored {i}Adastra: A History{/i}.",幸运的是，一位克米杨撰写了对该历史的‘纠正’，并以和{b}阿达斯特拉：一段历史{/b}相同的格式编成了册。
156,第一幕·场景1,a1s1,196,,,旁白,She wanted it to be as easy as possible to find the Khemian viewpoint on all of Adastran history.,她希望人们不费力就能找到克米杨视角下阿达斯特拉的全部历史。
157,第一幕·场景1,a1s1,197,,,旁白,"Of course, Amicus doesn't know I've been pairing Khemian records with Adastra's own.",当然，Amicus不知道我把这两份典籍组合起来了。
158,第一幕·场景1,a1s1,198,,,旁白,But I just needed something to balance all of this out.,我只是不希望戴着有色眼镜而已。
159,第一幕·场景1,a1s1,199,com,Computer,台词,"""The planet Deshereth was first explored by the wolves 15,324 years after Khemia's unification. After discarding the planet as 'barren of promising sapient life', Khemia requested rights from Adastra to explore the planet themselves.""","""在克希米亚统一15324年后，沃尔文首次探索了德萨雷斯，并把这颗星球当做‘没有诞生智慧生物希望的不毛之地’而抛弃。此后，克希米亚向阿达斯特拉申请了对该星球的自主探索权。"""
160,第一幕·场景1,a1s1,200,com,Computer,台词,"""This was granted after a price was negotiated and paid in precious metals. Exploration began in 18,342, and within two months, a promising sapient life form was discovered in the form of underground-dwelling, wolverine creatures.""","""在谈判妥当并支付了贵金属的价格后，申请获得了批准。探索始于18342年，不出两个月，一种生活在地下、有成为智慧生物潜力的生命形式-狼獾-首次被发现。"""
161,第一幕·场景1,a1s1,201,com,Computer,台词,"""Uplift was initiated, but just 200 years into the project, Adastra finally learned of this sapient life form they missed centuries ago.""","""培养开始了，可仅仅过了200年，阿达斯特拉终于意识到他们在几世纪前错过了什么。"""
162,第一幕·场景1,a1s1,202,com,Computer,台词,"""Instead of initiating talks, the wolves instead launched a surprise attack, massacring over five hundred Khemians, and 135,000 uplifted wolverines. Only two wolverines were recovered by a rescue mission several months later.""","""狼族没有选择谈判，而是发动一场突袭，屠杀了500多名克希杨、以及135000只狼獾。在数个月后的一次救援行动中，只有两只狼獾被发现幸存下来。"""
163,第一幕·场景1,a1s1,203,com,Computer,台词,"""The atrocities committed against this peaceful uplift mission included extensive use of incendiary weaponry.""","""针对培养这一和平使命，他们所犯下的暴行包括广泛使用燃烧武器。"""
164,第一幕·场景1,a1s1,204,com,Computer,台词,"""Wahneferhotep, the lead of the rescue mission recalled that burnt corpses were left scattered in the hundreds across the region, left amongst the ruins of homes, schools, nurseries--""","""救援行动的负责人Wahneferhotep回忆说，该地区废墟中散布着数以百计烧焦的尸骸，包括房屋、学校、婴儿室-"""
165,第一幕·场景1,a1s1,205,m,主角(MC),台词,"""Com, that's enough for today.""","""Com，今天就到这里吧。"""
166,第一幕·场景1,a1s1,206,com,Computer,台词,"""Yes, [mc].""","""好的，[mc]。"""
167,第一幕·场景1,a1s1,207,,,旁白,"I rub my eyes with my hands, already feeling tired.",我用手揉了揉眼，感到已经筋疲力尽了。
