序号,章节,章节代码,源行号,说话人代码,说话人,类型,英文原文,中文译文
54,第一幕·场景1,a1s1,61,,,旁白,"My concentration is broken by the strange, now ominous thoughts, and I sigh, knowing I should send a message about this to my mindfulness instructor.",
55,第一幕·场景1,a1s1,62,,,旁白,"But I won't, because my mission is far too close now, and I doubt ""uncontrolled thoughts"" will look good in any briefing to my superiors.",
56,第一幕·场景1,a1s1,63,,,旁白,"I begin the process of {i}grounding{/i}, rubbing my paws over the cool, polished marble.",
57,第一幕·场景1,a1s1,64,,,旁白,"Have these marble benches and pillars, the facade of this building, witnessed and absorbed the lives that spoke and moved around them before now?",
58,第一幕·场景1,a1s1,65,,,旁白,"If so, then simply distancing myself from a point in space is useless as the objects most important to that event continue to exist nearby.",
59,第一幕·场景1,a1s1,66,,,旁白,The idea of buildings possessing a character or conscience isn't my own.,
60,第一幕·场景1,a1s1,67,,,旁白,"Over a year ago, my instructor in architecture had said that long-lasting structures assume identities more distinct than the people who built them, especially as time--",
61,第一幕·场景1,a1s1,68,,,旁白,"""{cps=22}{i}We witnessed it... {w=0.3}We saw you bleed because of them...{/i}""",
62,第一幕·场景1,a1s1,85,,,旁白,"I open my eyes, my fur bristling and my breath hitching before I hold it, listening, but all I hear are maybe leaves blown by the wind outside; an echo of what the voice had sounded like.",
63,第一幕·场景1,a1s1,86,,,旁白,"I'm disturbed by that voice, much different from the first two I had been hearing.",
64,第一幕·场景1,a1s1,87,,,旁白,"More worryingly, the thought had been so loud and clear, I thought it had to have been spoken by someone, until I opened my eyes and found the room empty.",
65,第一幕·场景1,a1s1,88,,,旁白,"In fact, I pinpoint it to the statue right in front of me, the one of the spy Antonia, crouching on her pedestal.",
66,第一幕·场景1,a1s1,89,,,旁白,"A strange, dark feeling enters my mind as I frown, staring at it.",
67,第一幕·场景1,a1s1,90,,,旁白,"I'd certainly heard something from that direction, like a whisper, and though I try to prevent it, my mind wanders to a more pup-like state.",
68,第一幕·场景1,a1s1,91,,,旁白,"There is no question that this university is filled with unamalgamated spirits, and even in the bright, morning light that pours through the windows, Antonia appears eerie to me.",
69,第一幕·场景1,a1s1,92,,,旁白,"Her most famous deed was being an asymptomatic carrier of Lucius fever while a prisoner on Khemia, the outbreak killing hundreds of thousands, a death toll worse for the jackals than any of the battles waged during the war.",
70,第一幕·场景1,a1s1,94,,,旁白,"If any statue is haunted, it is likely hers, and as I move to sit up, she seems to follow me with her gaze.",
71,第一幕·场景1,a1s1,95,,,旁白,"Not just her eyes, but her head as well, and it's so distinct that I have to--",
72,第一幕·场景1,a1s1,96,unk,?????,台词,"""Scipio!""",
73,第一幕·场景1,a1s1,97,m,Scipio,台词,"""Oh, Gods!""",
74,第一幕·场景1,a1s1,98,,,旁白,"I leap into the air, stumbling away from the sudden voice and movement.",
75,第一幕·场景1,a1s1,99,m,Scipio,台词,"""Veteris! Why do you shout?""",
76,第一幕·场景1,a1s1,102,ve,Veteris,台词,"""Am I shouting? I consider this to be a perfectly reasonable volume! I suppose my advancement in age only continues, and you must learn to live with it!""",
77,第一幕·场景1,a1s1,103,,,旁白,"I rub my chest, looking over at the statue as that strange, dark feeling slowly dissipates.",
78,第一幕·场景1,a1s1,105,ve,Veteris,台词,"""You did not wait for me at the entrance to the forest this morning, thus my journey was rather dull!""",
79,第一幕·场景1,a1s1,106,m,Scipio,台词,"""You find me all that interesting?""",
80,第一幕·场景1,a1s1,107,,,旁白,"I banish the disturbed thoughts from my mind for now, turning my back to the statue of Antonia.",
81,第一幕·场景1,a1s1,109,ve,Veteris,台词,"""Hehe, well, I do now that you've managed to capture the full attention of the flower jackal over the past few months. {i}He{/i} is most interesting.""",
82,第一幕·场景1,a1s1,110,m,Scipio,台词,"""Yet you insult him in the same breath.""",
83,第一幕·场景1,a1s1,111,,,旁白,"Of course that was the reason, considering our conversations always turn toward that jackal.",
84,第一幕·场景1,a1s1,112,ve,Veteris,台词,"""He is a jackal and a flower, what of it?""",
85,第一幕·场景1,a1s1,113,m,Scipio,台词,"""He is a Khemian, and his name is Neferu.""",
86,第一幕·场景1,a1s1,115,ve,Veteris,台词,"""Even Khemians have the boundaries of gender. That jackal seems just as happy to be treated as a woman as he is a man.""",
87,第一幕·场景1,a1s1,116,,,旁白,"I bite my tongue, feeling the chasm between our differences in age widen just a bit further.",
88,第一幕·场景1,a1s1,117,,,旁白,"Veteris was once thought of as a leading social progressive back in the days that Amicus's father, Emperor Potes, ruled.",
89,第一幕·场景1,a1s1,118,,,旁白,"Now, with Amicus on the throne, much has changed, and the current emperor is quite popular among wolves in my age demographic.",
90,第一幕·场景1,a1s1,119,,,旁白,Not so much with Veteris's.,
91,第一幕·场景1,a1s1,121,ve,Veteris,台词,"""As much as I enjoy your conversations on topics such as the latest Khemian fashions and imported amusement tech, I was actually asked by Amicus to discuss a few things with you.""",
92,第一幕·场景1,a1s1,124,,,旁白,"I feel a falling feeling in my chest, wondering if I've done something wrong.",
93,第一幕·场景1,a1s1,125,,,旁白,"Two years ago, Veteris had picked his top three students of Khemian history, language, and culture, to train and compete to become his assistant and backup for the mission.",
94,第一幕·场景1,a1s1,126,,,旁白,"I had been one of them, and just last week, I was officially chosen by both Amicus and Veteris.",
95,第一幕·场景1,a1s1,127,,,旁白,This despite the fact that I was solidly middling between the other two students in our academic marks.,
96,第一幕·场景1,a1s1,128,,,旁白,"Carbo should have been the one to go, able to speak near-fluent Khemian, and he always knew every aspect of Khemian history by memory.",
97,第一幕·场景1,a1s1,129,,,旁白,"I had realized that no matter how much I studied, he would always be ahead.",
98,第一幕·场景1,a1s1,130,,,旁白,"My recent, almost desperate attempts to stand out paid off.",
99,第一幕·场景1,a1s1,131,,,旁白,"When I'd been chosen, I was certain it was a dream, and now I wonder if reality is about to catch up with me.",
100,第一幕·场景1,a1s1,132,,,旁白,It had probably been clear over the past few years that my mind hasn't always been in the present.,
101,第一幕·场景1,a1s1,134,ve,Veteris,台词,"""Let us discuss this in your study, Scipio. It's so very close by.""",
102,第一幕·场景1,a1s1,137,,,旁白,"I nod and follow, trying to keep my expression neutral so as to avoid embarrassment, no matter which way this discussion leads.",
103,第一幕·场景1,a1s1,146,,,旁白,"Veteris looks over the stacks of books and papers, the bridge of his aged muzzle wrinkling slightly, the graying fur bristling.",
104,第一幕·场景1,a1s1,147,ve,Veteris,台词,"""Honestly, Scipio, how often do I need to tell you that your clutter directly reflects your mind! If you're feeling overwhelmed, cleaning up your workspace is the first step!""",
105,第一幕·场景1,a1s1,148,,,旁白,"I wince, and I can't stop the blush from spreading across my own muzzle.",
106,第一幕·场景1,a1s1,149,,,旁白,We are very different in this regard as well.,
107,第一幕·场景1,a1s1,150,,,旁白,"I'd been to Veteris's residence on a handful of occasions, and while his study was indeed clean, the rest of it was not.",
108,第一幕·场景1,a1s1,151,,,旁白,"Maybe it's a representation of the one aspect of his life that he has in order, having abandoned his personal life before becoming an instructor.",
109,第一幕·场景1,a1s1,152,,,旁白,"My ""study"", which often doubles as my sleeping quarters after being selected two years previously, is one usually reserved for assistant instructors.",
110,第一幕·场景1,a1s1,153,,,旁白,"And it's a bit more than ""cluttered"".",
111,第一幕·场景1,a1s1,154,ve,Veteris,台词,"""And must you always light incense? At least pick a different scent than {i}oliban{/i}, it reminds me of my grandmother.""",
112,第一幕·场景1,a1s1,155,,,旁白,"I hadn't been expecting that comment, and being caught completely off-guard, I stumble for words, but I'm saved from having to make up a reason by the imperial computer assistant.",
113,第一幕·场景1,a1s1,156,com,Computer,台词,"""Good day, Scipio. Would you like your usual brunch?""",
114,第一幕·场景1,a1s1,157,m,Scipio,台词,"""No thank--""",
115,第一幕·场景1,a1s1,158,ve,Veteris,台词,"""Yes, bring it. You need to begin taking care of yourself more now that you are going to be a diplomat, and that involves eating regularly.""",
116,第一幕·场景1,a1s1,159,,,旁白,"Despite Veteris sounding strangely like my mother for a moment, it immediately sets me at ease, knowing he wouldn't say that if I were being dropped from the mission.",
117,第一幕·场景1,a1s1,160,,,旁白,"And as I see a drone descend from the ceiling with bread and sauce, I feel my appetite return.",
118,第一幕·场景1,a1s1,161,ve,Veteris,台词,"""Now, do you know why you were picked to accompany the mission?""",
119,第一幕·场景1,a1s1,162,m,Scipio,台词,"""Er...""",
120,第一幕·场景1,a1s1,163,,,旁白,I try to think of a reason that won't make me sound too egotistical.,
121,第一幕·场景1,a1s1,164,m,Scipio,台词,"""My knowledge of Khemia, especially the youth culture there?""",
122,第一幕·场景1,a1s1,165,,,旁白,Veteris waves his paw.,
123,第一幕·场景1,a1s1,166,ve,Veteris,台词,"""Oh please, Khemian youth 'culture'--""",
124,第一幕·场景1,a1s1,167,,,旁白,Veteris says the word with twice the emphasis and half the speed as the others.,
125,第一幕·场景1,a1s1,168,ve,Veteris,台词,"""--does not matter. Besides, Carbo knew more than you.""",
126,第一幕·场景1,a1s1,169,,,旁白,I blush even though it's a completely true and fair statement.,
127,第一幕·场景1,a1s1,170,m,Scipio,台词,"""Well, the only other reason that comes to mind might be my relationship to Neferu.""",
128,第一幕·场景1,a1s1,171,ve,Veteris,台词,"""And Brunis. You cultivated casual Khemian friendships with them with very little effort.""",
129,第一幕·场景1,a1s1,172,,,旁白,Of course.,
130,第一幕·场景1,a1s1,173,,,旁白,I did know that forming some type of relationship with the actual Khemians we have here was important.,
131,第一幕·场景1,a1s1,174,,,旁白,"Over the past year, I've made time to speak to them after each of our meetings, making sure to casually greet them and engage in causerie, which I knew Veteris and Amicus took notice of.",
132,第一幕·场景1,a1s1,175,,,旁白,"While Carbo usually had his nose in a book, I was talking to real Khemians in a casual and friendly way.",
133,第一幕·场景1,a1s1,176,,,旁白,"I wouldn't say that I know them as well as the few wolves I've considered my friends over the years, but I needed some type of advantage over Carbo.",
134,第一幕·场景1,a1s1,177,,,旁白,"I had felt bad at the time, remembering his expression of confusion and disbelief as he left the imperial palace after being dismissed from his current duties.",
135,第一幕·场景1,a1s1,178,,,旁白,"But really, I know his future as a prestigious scholar is almost guaranteed, and at the very least, the stresses of this mission are now over for him.",
136,第一幕·场景1,a1s1,179,,,旁白,"Now, it seems like I need to focus even more on interacting with these Khemians, and it only makes sense considering the main mission is to expand Adastra's relations with Khemia.",
137,第一幕·场景1,a1s1,180,ve,Veteris,台词,"""Where did you learn to do that, by the way?""",
138,第一幕·场景1,a1s1,181,,,旁白,Veteris eyes me curiously as I arrange the plate amongst the scatterings of books and Khemian tech.,
139,第一幕·场景1,a1s1,182,m,Scipio,台词,"""I mean, it's not difficult, you simply--""",
140,第一幕·场景1,a1s1,183,ve,Veteris,台词,"""It is very difficult for a wolf! Casual friendships only create opportunity for casual betrayals. However--""",
141,第一幕·场景1,a1s1,184,,,旁白,He glances at me from under his bushy brow.,
142,第一幕·场景1,a1s1,185,ve,Veteris,台词,"""It provides opportunity for the casual gathering of intelligence as well.""",
143,第一幕·场景1,a1s1,186,,,旁白,"I feel my stomach turn again, despite knowing this would be part of my assignment as a diplomat, it doesn't mean I'm eager to do it.",
144,第一幕·场景1,a1s1,187,,,旁白,"Still, the topic hadn't ever really come up, and with the departure date apparently nearing faster than expected, I had hoped that I would somehow be exempt.",
145,第一幕·场景1,a1s1,188,m,Scipio,台词,"""You want me to spy?""",
146,第一幕·场景1,a1s1,189,,,旁白,"I say it evenly, in a way I hope doesn't betray the hesitance and lack of confidence I feel.",
147,第一幕·场景1,a1s1,190,ve,Veteris,台词,"""Amicus would simply like for you to keep an eye on them. As we know by now, Khemian bluntness is a myth. We can never be sure of their true intentions.""",
148,第一幕·场景1,a1s1,191,,,旁白,"While the feelings of friendliness I have toward the Khemians are genuine, I remind myself that I did become their friend with the main purpose of personal gain, along with the knowledge that I would be reporting anything of importance they said.",
149,第一幕·场景1,a1s1,192,m,Scipio,台词,"""Academia is probably my greatest strength, Veteris. I'm not sure--""",
150,第一幕·场景1,a1s1,193,ve,Veteris,台词,"""You accepted the position of a diplomat, thus you accepted the responsibility to gather intelligence for your emperor. It is part of your many obligations now.""",
151,第一幕·场景1,a1s1,194,m,Scipio,台词,"""Of course, Teacher, but where do I even start? I'm not trained in espionage. Shouldn't there be more time for me to prepare for such a thing?""",
152,第一幕·场景1,a1s1,195,ve,Veteris,台词,"""Don't ask me, I'm simply a part-time professor and full-time advisor to the emperor on Khemian politics and culture. He only wanted me to prepare you mentally.""",
153,第一幕·场景1,a1s1,196,m,Scipio,台词,"""It feels like a completely different discipline.""",
154,第一幕·场景1,a1s1,197,,,旁白,Veteris waves his paw again.,
155,第一幕·场景1,a1s1,198,ve,Veteris,台词,"""The reason you are not formally trained in spying is because this type of 'spying' is merely information-gathering, through individual relationships and larger networks.""",
156,第一幕·场景1,a1s1,199,,,旁白,That makes me feel a bit better.,
157,第一幕·场景1,a1s1,200,m,Scipio,台词,"""I see.""",
158,第一幕·场景1,a1s1,201,ve,Veteris,台词,"""As far as I know, the real spies, who I imagine are being trained now, though again, I wouldn't know, come along after regular relations have been established.""",
159,第一幕·场景1,a1s1,202,ve,Veteris,台词,"""In the meantime, this casual espionage will do. Keeping your enemies close, as they say, and no, I'm not saying they're enemies personally, but you understand.""",
160,第一幕·场景1,a1s1,203,,,旁白,"I think as I chew on the bread slowly, the tangy sauce reminding me of how hungry I am.",
161,第一幕·场景1,a1s1,204,ve,Veteris,台词,"""Do you feel you are up to the task? A target like Neferu should be a lucrative one.""",
162,第一幕·场景1,a1s1,215,,,旁白,I smile.,
163,第一幕·场景1,a1s1,216,m,Scipio,台词,"""Of course. I did accept the position, like you said. However, Neferu is smarter than he'd have you believe. I doubt he'll give away anything important.""",
164,第一幕·场景1,a1s1,217,ve,Veteris,台词,"""Oh no, that jackal's head is full of sand. Even the emperor has publicly said so.""",
165,第一幕·场景1,a1s1,218,,,旁白,"I know that it most definitely isn't, but I suppose that's why I'm the one who's meant to spy on him.",
166,第一幕·场景1,a1s1,219,m,Scipio,台词,"""And Brunis is even more guarded. He's a trained negotiator and seasoned diplomat.""",
167,第一幕·场景1,a1s1,220,,,旁白,Veteris laughs at me.,
168,第一幕·场景1,a1s1,221,ve,Veteris,台词,"""With his informal and coarse nature? I doubt it, but remember, Neferu is the main target.""",
169,第一幕·场景1,a1s1,222,,,旁白,Now I have to stop myself from laughing at my own mentor.,
170,第一幕·场景1,a1s1,223,m,Scipio,台词,"""Have you considered that they themselves could be plants meant to spy on {i}us{/i}?""",
171,第一幕·场景1,a1s1,224,,,旁白,"That gives my teacher pause, then he shrugs.",
172,第一幕·场景1,a1s1,225,ve,Veteris,台词,"""If they are, then there are some serious issues in the uppermost echelons of Khemian power. Besides, everyone knows the pharaoh sent him here as a form of punishment.""",
173,第一幕·场景1,a1s1,226,ve,Veteris,台词,"""I mean, he hates his son so much he set him up to live in the same palace with a general from the last war, a general that would unsurprisingly kick his balls into orbit! Ha!""",
174,第一幕·场景1,a1s1,227,,,旁白,"I sigh, feeling sorry for the jackal like I always do when I remember that event, immortalized by drone footage.",
175,第一幕·场景1,a1s1,228,com,Computer,台词,"""A reminder that your meeting with the emperor begins in approximately ten minutes. Please be present and ready in Lecture Hall One.""",
176,第一幕·场景1,a1s1,229,,,旁白,Veteris watches me as I eat the rest of the loaf of bread quickly.,
177,第一幕·场景1,a1s1,230,ve,Veteris,台词,"""Also, start becoming more conscious of what you consume, and consider some exercise. The jackal seems to lean toward fit body types. You're fine as you are now, but you're nearing the age where it might start to slip.""",
178,第一幕·场景1,a1s1,231,,,旁白,"That almost makes me choke, hoping my ears don't betray the embarrassment I feel at hearing my mentor say such things about my own body.",
179,第一幕·场景1,a1s1,233,,,旁白,Especially considering he was the one to insist that I eat in the first place.,
180,第一幕·场景1,a1s1,243,,,旁白,"Ten minutes later, I'm in the lecture hall with Veteris, along with Amicus, Neferu, Brunis, and Virginia.",
181,第一幕·场景1,a1s1,244,,,旁白,These biweekly meetings feel very different now that my two peers are gone.,
182,第一幕·场景1,a1s1,245,,,旁白,"Me being the youngest, and least important part of the envoy is made all the more obvious.",
183,第一幕·场景1,a1s1,246,,,旁白,"But aside from that, business progresses as usual.",
184,第一幕·场景1,a1s1,247,,,旁白,"It's a rather casual affair, if not a depressing one due to Adastra's lack of progress with Khemia.",
185,第一幕·场景1,a1s1,248,,,旁白,Not much can get done at this point unless Khemian equivalents to Amicus show up on the stretch drive and make the decisions in-person.,
186,第一幕·场景1,a1s1,249,,,旁白,"That hasn't happened in months, and while Neferu is certainly important, he isn't as important as his brother, the vizier.",
187,第一幕·场景1,a1s1,250,,,旁白,"So instead, we discuss how wolvish society and culture should approach its various Khemian counterparts.",
188,第一幕·场景1,a1s1,251,,,旁白,"I'm paying fairly close attention, as the topic is about diplomatic language.",
189,第一幕·场景1,a1s1,252,,,旁白,"How on Khemia, one must always use words, never fists, as Khemians see the latter as a sign of weakness, and lacking control.",
190,第一幕·场景1,a1s1,253,,,旁白,"But then Amicus and Neferu argue for a while about how wolves must learn to separate diplomatic language from outright lies, which Amicus argues is the same thing.",
191,第一幕·场景1,a1s1,255,a,Amicus,台词,"""--especially as times change, our needs change, therefore some promises cannot be kept!""",
192,第一幕·场景1,a1s1,257,n,Neferu,台词,"""Yes, but one unkept promise can be enough to ruin a generation. An adversary, or even an ally that does not hold up their part of the bargain, no matter the change in times, is branded unreliable and relations are unlikely to progress in any form.""",
193,第一幕·场景1,a1s1,258,,,旁白,"I find myself agreeing with Neferu, even though I would never, ever say such a thing out loud.",
194,第一幕·场景1,a1s1,259,,,旁白,Especially not here.,
195,第一幕·场景1,a1s1,260,com,Computer,台词,"""Earth report #134 has arrived. Shall I brief you on its contents, Emperor Amicus?""",
196,第一幕·场景1,a1s1,264,,,旁白,"Their argument interrupted, Amicus pauses, then gives a terse ""yes"" as a response, likely knowing the news would not be good.",
197,第一幕·场景1,a1s1,265,,,旁白,It rarely is when coming from Earth.,
198,第一幕·场景1,a1s1,266,,,旁白,Earth.,
199,第一幕·场景1,a1s1,267,,,旁白,"The planet I'd only learned of last week, after being chosen, along with the ongoing efforts to integrate its humans into the {i}Galaxias{/i}.",
200,第一幕·场景1,a1s1,268,,,旁白,"The human who had once resided in the palace is on his own mission, trying to bring the parents' vision to fruition.",
201,第一幕·场景1,a1s1,269,,,旁白,"I'm curious about them, but this part of the mission is not for me to know, only having been introduced to the concept so Amicus can think about and discuss it freely.",
202,第一幕·场景1,a1s1,270,,,旁白,"So I lower my eyes as the briefing begins, yet I'm still able to feel Amicus's mood darken.",
203,第一幕·场景1,a1s1,271,com,Computer,台词,"""You will recall that three days ago, after the deaths of three American diplomats who came into contact with the human, it had been discovered that he is sporadically shedding avia pox virus.""",
204,第一幕·场景1,a1s1,272,com,Computer,台词,"""Unfortunately, there have been further developments in which one of the diplomats visited an establishment that serves food and beverage.""",
205,第一幕·场景1,a1s1,273,com,Computer,台词,"""Four British officials were infected by this diplomat and all subsequently perished in the past two days. The human has been placed in quarantine and talks between nations have come to a halt for the time being.""",
206,第一幕·场景1,a1s1,274,com,Computer,台词,"""The United States of America and The United Kingdom of Great Britain and Northern Ireland have jointly threatened to withdraw from talks if there are further casualties.""",
207,第一幕·场景1,a1s1,275,com,Computer,台词,"""However, there appears to be no further spread of the virus at this time, likely due to the rapid onset of symptoms and — so far — 100 percent mortality rate in humans.""",
208,第一幕·场景1,a1s1,276,,,旁白,"I don't understand many of the Earth words, but I understand enough.",
209,第一幕·场景1,a1s1,277,,,旁白,How can avia pox be so lethal to these humans?,
210,第一幕·场景1,a1s1,278,,,旁白,No other primates we know of have trouble with it.,
211,第一幕·场景1,a1s1,279,,,旁白,And these threats to end talks of being part of the {i}Galaxias{/i}; How frustrating that two states can halt an entire world from progressing.,
212,第一幕·场景1,a1s1,280,,,旁白,"I'm quietly relieved that the hard borders of our past are over now, at least.",
213,第一幕·场景1,a1s1,282,,,旁白,Amicus grumbles under his breath.,
214,第一幕·场景1,a1s1,283,a,Amicus,台词,"""How could they be so goddamn stupid?""",
215,第一幕·场景1,a1s1,284,,,旁白,"At first, I wonder if he's talking about the humans, which I find unfair, then I realize he might be speaking of the parents, which I find terrifying.",
216,第一幕·场景1,a1s1,285,,,旁白,Then he raises his voice.,
217,第一幕·场景1,a1s1,287,a,Amicus,台词,"""Do we know of any sapients that can contract avia pox and remain contagious after initial infection?""",
218,第一幕·场景1,a1s1,288,com,Computer,台词,"""No, Emperor Amicus.""",
219,第一幕·场景1,a1s1,293,ve,Veteris,台词,"""Ahem, I'm not an expert on infectious diseases by any means, but considering how little we know of the effects of the virus on humans, anything could be possible.""",
220,第一幕·场景1,a1s1,295,a,Amicus,台词,"""Yes, and due to Parental negligence, he's in quarantine! I'm beginning to think we need to bring him back. Like, back here, back home!""",
221,第一幕·场景1,a1s1,296,,,旁白,Amicus almost shouts.,
222,第一幕·场景1,a1s1,297,,,旁白,"If my fear of the parents wasn't obvious before, now it is, my eyes wide open.",
223,第一幕·场景1,a1s1,299,ve,Veteris,台词,"""The parents do work in the most mysteriou--""",
224,第一幕·场景1,a1s1,301,a,Amicus,台词,"""By making my human appear as if he is a bioweapon? What the hell are they playing at?""",
225,第一幕·场景1,a1s1,302,,,旁白,"""{i}We witnessed it...{/i}""",
226,第一幕·场景1,a1s1,303,,,旁白,I remember a rustle of leaves and quickly steer my mind away from what I had heard on the bench.,
227,第一幕·场景1,a1s1,304,,,旁白,"Virginia, who had been silent through most of the discussion, clears her throat.",
228,第一幕·场景1,a1s1,308,vi,Virginia,台词,"""Unfortunately Amicus, we know the parents are not able to foresee all things. We can only fulfill our own duties on our own plane of existence.""",
229,第一幕·场景1,a1s1,310,,,旁白,"Amicus takes a deep breath, sighing loudly.",
230,第一幕·场景1,a1s1,311,,,旁白,"I know his relationship with the human is close, everyone knows this based on what we saw during his fight with Cato, though how close is wildly different depending on who you ask.",
231,第一幕·场景1,a1s1,312,,,旁白,"It's clear he's more rattled than I've ever seen him though, his paws shaking on his knees.",
232,第一幕·场景1,a1s1,314,vi,Virginia,台词,"""Speaking of which, you had something to announce to our envoy, before the empire as a whole, correct?",
233,第一幕·场景1,a1s1,316,a,Amicus,台词,"""Did I?""",
234,第一幕·场景1,a1s1,318,,,旁白,Virginia sighs.,
